0;Processing area, Security Turret in the first room
1;Processing area, Denmuki in the first room
2;Processing area, Bee-Boop in the room located east from the central room
3;Processing area, Denmuki in the room located east from the central room
5;Processing area, Bee-Boop in the central room
6;Processing area, Denmuki in the central room
7;Processing area, Security Turret in the central room
8;Processing area, Security Turret in the room located west from the central room top floor
9;Processing area, Bee-Boop in the first room
10;Processing area, Security Turret in the room located east from the central room
11;Processing area, Denmuki in the room located west from the center room top floor
12;Processing area, leftmost Bee-Boop in the room located north from the central room top floor
13;Processing area, rightmost Bee-Boop in the room located north from the central room top floor
14;Storage area, Abomihoney in the pit of the north room
15;Storage area, leftmost Abomihoney in the north room
16;Storage area, rightmost Abomihoney in the north room
17;Storage area, Denmuki in the large room with many stacked boxes
18;Storage area, Security Turret in the large room with many stacked boxes
19;Storage area, Bee-Boop in the south room
20;Storage area, got the Magic Seed in the south room