2;Depths, Zombiant in the center of the room located west of the Spider's room
3;Depths, leftmost Inichas in the room located west of the Spider's room
4;Depths, Inichas on the back right part in the room located west of the Spider's room
5;Depths, cutting the leftmost bush in the room located west of the Spider's room (drops a berry)
7;Depths, leftmost Zombiant in the room located west of the Spider's room
8;Depths, Jellyshroom on the back of the room located west of the Spider's room
9;Hit the coiled vine in the first room
10;Depths, got an Aphid Egg by cutting the bush on the back left part of the room located west of the Spider's room
11;Depths, the closest Zombiant to the right exit of the room located west of the Spider's room
12;Depths, got the Magic Seed by cutting the rightmost bush in the room located east from the room with the doors
13;Depths, Inichas in the room located east from the room with the doors
14;Depths, Jellyshroom in the front of the mushrooms room
15;Depths, Jellyshroom in the back of the mushrooms room
17;Depths, Zombiant in the room located west from the room with the doors
18;Depths, Zombiant at the bottom of the room with the left door switch
19;Depths, Zombiant at the top of the room with the left door switch
20;Depths, Inichas in the room with the right door switch
21;Inichas in the second room (the one with the large door and the trap hole)
22;Rightmost Inichas in the first room
23;Leftmost Inichas in the first room
25;Depths, Inichas on the south part of the room with the doors
26;Depths, Zombiant on the right part of the room with the doors
27;Depths, Jellyshroom on the left part of the room with the doors
30;Depths, Jellyshroom in the room located east from the room with the doors
31;Depths, Jellyshroom in the room with the right door switch
32;Depths, got the red berry by cutting the rightmost bush in the room with the doors